,province,district,ur2012,weight,Consumption,s1q1,s1q3y,s1q13,s1q14,s3q4,s4aq6a,s4aq6b,s4aq8,s4aq9,s4aq11h,s4aq12,s4aq14,s4aq15,s4aq17,s4bq3,s4bq4,s4bq5,s6aq2
448,Kigali City,Nyarugenge,Urban,5.341563786,175621.0938,Female,10,No,Yes and resident in household,Yes,Primary 2,Primary 3,Public,No problem,,Other relatives,7,Holidays,,Yes,No,Yes,No
459,Kigali City,Nyarugenge,Urban,5.341563786,112593.2422,Female,18,No,Yes and resident in household,No,"Primary 6,7,8",Secondary 1,Public,No problem,167600,Mother,7,Holidays,,Yes,Yes,Yes,No
467,Kigali City,Nyarugenge,Urban,5.341563786,74786.65625,Female,18,No,Yes and resident in household,No,Secondary 2,Secondary 3,Public,No problem,,,7,Holidays,,Yes,Yes,Yes,No
468,Kigali City,Nyarugenge,Urban,5.341563786,74786.65625,Male,15,No,Yes and resident in household,No,Primary 3,Primary 4,Public,No problem,,Mother,7,Holidays,,Yes,Yes,Yes,No
469,Kigali City,Nyarugenge,Urban,5.341563786,74786.65625,Female,12,No,Yes and resident in household,No,Primary 3,Primary 4,Public,No problem,,Mother,7,Holidays,,Yes,Yes,Yes,No
470,Kigali City,Nyarugenge,Urban,5.341563786,74786.65625,Male,11,No,Yes and resident in household,No,Primary 2,Primary 3,Public,No problem,,Mother,7,Holidays,,Yes,No,Yes,No
473,Kigali City,Gasabo,Peri urban,25.10725755,167173.3125,Male,12,"Yes,but residing in onother household",Yes but residing in another household,Yes,Not in class,Not in class,,,,,,,Cost,No,,No,No
476,Kigali City,Gasabo,Peri urban,25.10725755,133434.6563,Male,15,No,Yes and resident in household,No,Primary 1,Primary 2,Public,No problem,,Mother,7,Financial Reasons,,No,,No,No
477,Kigali City,Gasabo,Peri urban,25.10725755,133434.6563,Female,13,"Yes,but residing in onother household",Yes and resident in household,No,Primary 3,Not in class,,,,,,,Health,No,,No,No
478,Kigali City,Gasabo,Peri urban,25.10725755,133434.6563,Female,9,"Yes,but residing in onother household",Yes and resident in household,No,Not in class,Pre-primary,Public,No problem,,Mother,6,Financial Reasons,,,,,No
488,Kigali City,Gasabo,Peri urban,25.10725755,215371.5156,Female,11,"Yes,and residing in the household",Yes and resident in household,Yes,Primary 1,Primary 1,Public,No problem,,Father,4,Family circumstances,,No,,No,No
489,Kigali City,Gasabo,Peri urban,25.10725755,215371.5156,Female,7,"Yes,and residing in the household",Yes and resident in household,No,,,,,,Father,,,,,,,No
491,Kigali City,Gasabo,Peri urban,25.10725755,215371.5156,Male,7,"Yes,but residing in onother household",Yes but residing in another household,Yes,,,,,,Other household members,,,,,,,No
495,Kigali City,Gasabo,Peri urban,25.10725755,213991.6719,Male,12,"Yes,and residing in the household",No,No,Primary 1,Primary 1,Public,No problem,,Other household members,,,,No,,No,No
500,Kigali City,Gasabo,Peri urban,25.10725755,159154.8594,Male,17,"Yes,but residing in onother household",Yes but residing in another household,No,Not in class,Not in class,,,,,,,Cost,Yes,Yes,Yes,No
504,Kigali City,Gasabo,Peri urban,25.10725755,146340.9531,Male,6,"Yes,but residing in onother household",Yes but residing in another household,No,,,,,,,,,,,,,No
508,Kigali City,Gasabo,Peri urban,25.10725755,95922.74219,Male,15,"Yes,and residing in the household",Yes and resident in household,No,Primary 5,Not in class,,,,,,,Lack of interest,Yes,Yes,Yes,No
509,Kigali City,Gasabo,Peri urban,25.10725755,95922.74219,Female,6,"Yes,and residing in the household",Yes and resident in household,No,,,,,,,,,,,,,No
514,Kigali City,Gasabo,Peri urban,25.10725755,106028.7656,Male,16,"Yes,and residing in the household",Yes and resident in household,No,Primary 3,Primary 4,Public,No problem,,Both parents,,,,Yes,Yes,Yes,No
515,Kigali City,Gasabo,Peri urban,25.10725755,106028.7656,Male,13,"Yes,and residing in the household",Yes and resident in household,Yes,Primary 3,Primary 4,Public,No problem,,Both parents,,,,Yes,Yes,Yes,No
516,Kigali City,Gasabo,Peri urban,25.10725755,106028.7656,Male,11,"Yes,and residing in the household",Yes and resident in household,No,Primary 1,Primary 2,Public,No problem,,Both parents,,,,Yes,Yes,Yes,No
524,Kigali City,Gasabo,Peri urban,41.18888889,47545.82813,Male,16,"Yes,and residing in the household",No,No,Not in class,Not in class,,,,,,,Lack of interest,Yes,Yes,Yes,No
525,Kigali City,Gasabo,Peri urban,41.18888889,47545.82813,Female,14,"Yes,and residing in the household",No,No,Primary 1,Primary 1,Free Subsidized,No problem,,Father,6,Family circumstances,,No,,No,No
526,Kigali City,Gasabo,Peri urban,41.18888889,47545.82813,Female,11,"Yes,and residing in the household",No,No,,,,,,,,,,No,,No,No
532,Kigali City,Gasabo,Peri urban,41.18888889,298149.1875,Male,6,"Yes,and residing in the household",Yes and resident in household,No,,,,,,Father,,,,,,,No
534,Kigali City,Gasabo,Peri urban,41.18888889,298149.1875,Female,9,"Yes,but residing in onother household",Yes but residing in another household,No,Primary 1,Primary 2,Free Subsidized,Not enough teachers,,Other household members,,,,,,,No
537,Kigali City,Gasabo,Peri urban,41.18888889,202657.6875,Male,18,"Yes,and residing in the household",Yes and resident in household,No,"Primary 6,7,8",Secondary 1,Public,Poor buildings & equipment,,Both parents,,,,Yes,Yes,Yes,Yes
538,Kigali City,Gasabo,Peri urban,41.18888889,202657.6875,Male,16,"Yes,and residing in the household",Yes and resident in household,No,Primary 5,Primary 5,Public,Books not available,,Both parents,,,,Yes,Yes,Yes,No
539,Kigali City,Gasabo,Peri urban,41.18888889,202657.6875,Female,13,"Yes,and residing in the household",Yes and resident in household,No,Primary 4,Primary 4,Public,Books not available,,Both parents,,,,Yes,Yes,Yes,No
540,Kigali City,Gasabo,Peri urban,41.18888889,202657.6875,Female,12,"Yes,and residing in the household",Yes and resident in household,No,Primary 1,Primary 1,Public,Books not available,,Both parents,,,,No,,No,No
541,Kigali City,Gasabo,Peri urban,41.18888889,202657.6875,Female,6,"Yes,and residing in the household",Yes and resident in household,No,,,,,,Both parents,,,,,,,No
543,Kigali City,Gasabo,Peri urban,41.18888889,141109.9219,Female,11,"Yes,but residing in onother household",Yes but residing in another household,No,Primary 2,Primary 3,Free Subsidized,No problem,,Other household members,7,Dropped out,Lack of interest,Yes,Yes,Yes,No
544,Kigali City,Gasabo,Peri urban,41.18888889,141109.9219,Female,7,"Yes,but residing in onother household",Yes but residing in another household,No,Not in class,Primary 1,Free Subsidized,No problem,,Other household members,,,,,,,No
547,Kigali City,Gasabo,Peri urban,41.18888889,163881.3594,Male,12,"Yes,and residing in the household",Yes and resident in household,No,Primary 4,Primary 5,Free Subsidized,No problem,,Father,2,Family circumstances,,Yes,Yes,Yes,No
548,Kigali City,Gasabo,Peri urban,41.18888889,163881.3594,Female,8,"Yes,and residing in the household",Yes and resident in household,Yes,Pre-primary,Primary 1,Free Subsidized,No problem,,Father,3,Poor health,,,,,No
551,Kigali City,Gasabo,Peri urban,41.18888889,183910.6094,Female,9,"Yes,and residing in the household",Yes and resident in household,No,Primary 3,Primary 4,Free Subsidized,No problem,,Mother,,,,,,,No
552,Kigali City,Gasabo,Peri urban,41.18888889,183910.6094,Female,6,"Yes,and residing in the household",Yes and resident in household,No,Primary 1,Primary 2,Free Subsidized,No problem,,Mother,,,,,,,No
572,Kigali City,Gasabo,Peri urban,23.89888889,91385.98438,Female,16,"Yes,and residing in the household",Yes and resident in household,No,Primary 5,Primary 5,Public,Poor buildings & equipment,,Both parents,,,,Yes,Yes,Yes,No
573,Kigali City,Gasabo,Peri urban,23.89888889,91385.98438,Female,12,"Yes,and residing in the household",Yes and resident in household,No,Primary 2,Primary 2,Public,Poor buildings & equipment,,Both parents,,,,No,,No,No
574,Kigali City,Gasabo,Peri urban,23.89888889,91385.98438,Female,10,"Yes,and residing in the household",Yes and resident in household,No,Primary 1,Primary 2,Public,Poor buildings & equipment,,Both parents,,,,No,,No,No
575,Kigali City,Gasabo,Peri urban,23.89888889,91385.98438,Male,7,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Primary 1,Public,Poor buildings & equipment,,Both parents,,,,,,,No
581,Kigali City,Gasabo,Peri urban,23.89888889,119473.5859,Female,10,"Yes,and residing in the household",Yes and resident in household,No,Primary 3,Primary 4,Public,No problem,,Both parents,1,Financial Reasons,,Yes,Yes,Yes,No
583,Kigali City,Gasabo,Peri urban,23.89888889,119473.5859,Female,15,"Yes,but residing in onother household",Yes but residing in another household,No,Primary 2,Primary 3,Public,No problem,,Other non-relatives,7,Family circumstances,,No,,No,No
584,Kigali City,Gasabo,Peri urban,23.89888889,119473.5859,Male,7,"Yes,but residing in onother household",Yes but residing in another household,Yes,,,,,,Other relatives,,,,,,,No
591,Kigali City,Gasabo,Peri urban,23.89888889,155339.9219,Female,8,"Yes,but residing in onother household",Yes and resident in household,No,Pre-primary,Primary 1,Public,No problem,,Mother,,,,,,,No
599,Kigali City,Gasabo,Peri urban,16.94413408,226724.7188,Male,7,"Yes,and residing in the household",Yes and resident in household,No,,,,,,,,,,,,,No
604,Kigali City,Gasabo,Peri urban,16.94413408,319978.4375,Female,18,"Yes,but residing in onother household",Yes and resident in household,Yes,"Primary 6,7,8",Secondary 1,Public,Books not available,,Other Organization/Association,7,Holidays,,Yes,Yes,Yes,No
605,Kigali City,Gasabo,Peri urban,16.94413408,319978.4375,Female,12,"Yes,but residing in onother household",Yes and resident in household,No,Primary 5,Primary 5,Public,No problem,,Other Organization/Association,7,Holidays,,No,,No,No
606,Kigali City,Gasabo,Peri urban,16.94413408,319978.4375,Male,10,"Yes,but residing in onother household",Yes and resident in household,No,Primary 2,Primary 2,Public,No problem,,Mother,7,Holidays,,No,,No,No
607,Kigali City,Gasabo,Peri urban,16.94413408,319978.4375,Female,7,"Yes,but residing in onother household",Yes and resident in household,No,Pre-primary,Primary 1,Public,No problem,,Mother,7,Holidays,,,,,No
610,Kigali City,Gasabo,Peri urban,16.94413408,208809.75,Male,17,"Yes,but residing in onother household",No,No,Not in class,Not in class,,,,,,,Lack of family support,Yes,Yes,Yes,Yes
613,Kigali City,Gasabo,Peri urban,16.94413408,296391.3125,Female,10,"Yes,and residing in the household",Yes and resident in household,No,Primary 1,Primary 1,Public,No problem,,Father,7,Holidays,,No,,No,No
614,Kigali City,Gasabo,Peri urban,16.94413408,296391.3125,Male,6,"Yes,and residing in the household",Yes and resident in household,No,,,,,,,,,,,,,No
619,Kigali City,Gasabo,Peri urban,16.94413408,142102.6875,Female,15,"Yes,and residing in the household",Yes and resident in household,No,Primary 3,Not in class,,,,,,,Health,No,,No,No
620,Kigali City,Gasabo,Peri urban,16.94413408,142102.6875,Male,10,"Yes,and residing in the household",Yes and resident in household,No,,,,,,,,,,No,,No,No
621,Kigali City,Gasabo,Peri urban,16.94413408,142102.6875,Male,8,"Yes,and residing in the household",Yes and resident in household,No,,,,,,,,,,,,,No
626,Kigali City,Gasabo,Peri urban,16.94413408,121625.8281,Male,15,"Yes,and residing in the household",Yes and resident in household,No,Primary 4,Primary 5,Public,Poor buildings & equipment,,Father,7,Holidays,,Yes,Yes,Yes,No
627,Kigali City,Gasabo,Peri urban,16.94413408,121625.8281,Female,13,"Yes,and residing in the household",Yes and resident in household,No,Primary 2,Primary 3,Public,Poor buildings & equipment,,Father,7,Holidays,,Yes,Yes,No,No
628,Kigali City,Gasabo,Peri urban,16.94413408,121625.8281,Male,11,"Yes,and residing in the household",Yes and resident in household,No,Primary 2,Primary 2,Public,Poor buildings & equipment,,Father,7,Holidays,,Yes,Yes,No,No
629,Kigali City,Gasabo,Peri urban,16.94413408,121625.8281,Male,9,"Yes,and residing in the household",Yes and resident in household,No,Primary 1,Primary 1,Public,Poor buildings & equipment,,Father,7,Holidays,,,,,No
630,Kigali City,Gasabo,Peri urban,16.94413408,121625.8281,Female,7,"Yes,and residing in the household",Yes and resident in household,No,,,,,,Father,,,,,,,No
634,Kigali City,Gasabo,Peri urban,16.94413408,268880.3125,Male,18,"Yes,but residing in onother household",Yes and resident in household,No,Not in class,Not in class,,,,,,,Lack of interest,No,,No,No
635,Kigali City,Gasabo,Peri urban,16.94413408,268880.3125,Male,11,"Yes,but residing in onother household",Yes and resident in household,No,Primary 1,Primary 2,Public,No problem,,Mother,7,Holidays,,No,,Yes,No
636,Kigali City,Gasabo,Peri urban,16.94413408,268880.3125,Male,11,"Yes,but residing in onother household",Yes and resident in household,No,Primary 1,Primary 1,Public,No problem,,Mother,7,Holidays,,No,,Yes,No
641,Kigali City,Gasabo,Peri urban,16.94413408,116178.125,Male,18,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Not in class,,,,,,,Cost,Yes,Yes,Yes,No
642,Kigali City,Gasabo,Peri urban,16.94413408,116178.125,Female,15,"Yes,and residing in the household",Yes and resident in household,No,Primary 5,"Primary 6,7,8",Public,No problem,,Both parents,7,Holidays,,Yes,Yes,Yes,No
645,Kigali City,Gasabo,Peri urban,23.02059083,374535.5625,Female,7,Dont know,Yes but residing in another household,No,Not in class,Pre-primary,Public,No problem,,Other household members,7,Holidays,,,,,No
646,Kigali City,Gasabo,Peri urban,23.02059083,374535.5625,Female,6,"Yes,but residing in onother household",Yes but residing in another household,Yes,,,,,,Other household members,,,,,,,No
650,Kigali City,Gasabo,Peri urban,23.02059083,171825.7813,Female,15,"Yes,but residing in onother household",No,No,Primary 5,"Primary 6,7,8",Public,No problem,,Other household members,7,Dropped out,Lack of interest,Yes,Yes,Yes,Yes
653,Kigali City,Gasabo,Peri urban,23.02059083,164801.0156,Female,7,"Yes,and residing in the household",Yes and resident in household,No,,,,,,Both parents,,,,,,,No
658,Kigali City,Gasabo,Peri urban,23.02059083,413534.9063,Male,12,"Yes,and residing in the household",Yes and resident in household,Yes,Primary 4,Primary 5,Public,No problem,,Both parents,3,Poor health,,Yes,Yes,Yes,No
659,Kigali City,Gasabo,Peri urban,23.02059083,413534.9063,Female,8,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Primary 1,Public,No problem,,Both parents,7,Dropped out,Health,,,,No
660,Kigali City,Gasabo,Peri urban,23.02059083,413534.9063,Male,6,"Yes,and residing in the household",Yes and resident in household,No,,,,,,,,,,,,,No
664,Kigali City,Gasabo,Peri urban,23.02059083,187516.9375,Female,9,"Yes,and residing in the household",Yes and resident in household,No,Primary 2,Primary 3,,,,,,,Cost,,,,No
665,Kigali City,Gasabo,Peri urban,23.02059083,187516.9375,Male,8,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Pre-primary,,,,,,,Cost,,,,No
677,Kigali City,Gasabo,Peri urban,23.02059083,283213.875,Male,6,"Yes,and residing in the household",Yes and resident in household,No,,,,,,Both parents,,,,,,,No
682,Kigali City,Gasabo,Peri urban,23.02059083,396275.9688,Female,18,"Yes,and residing in the household",Yes and resident in household,Yes,Secondary 1,Secondary 2,Public,No problem,28000,Both parents,,,,Yes,Yes,Yes,No
683,Kigali City,Gasabo,Peri urban,23.02059083,396275.9688,Female,16,"Yes,and residing in the household",Yes and resident in household,No,Primary 5,"Primary 6,7,8",Public,Mediocre teaching,7000,Both parents,,,,Yes,Yes,Yes,No
684,Kigali City,Gasabo,Peri urban,23.02059083,396275.9688,Female,12,"Yes,and residing in the household",Yes and resident in household,No,Primary 4,Primary 4,Public,Mediocre teaching,,Both parents,,,,Yes,Yes,Yes,No
685,Kigali City,Gasabo,Peri urban,23.02059083,396275.9688,Male,9,"Yes,and residing in the household",Yes and resident in household,No,Primary 2,Primary 3,Public,Mediocre teaching,,Both parents,,,,,,,No
689,Kigali City,Gasabo,Peri urban,26.06709402,260967.2656,Female,6,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Not in class,Public,Not enough teachers,,Both parents,3,Poor health,,,,,No
705,Kigali City,Gasabo,Peri urban,26.06709402,128689.1328,Female,12,"Yes,and residing in the household",Yes and resident in household,No,Primary 3,Primary 4,Public,No problem,,Both parents,,,,Yes,Yes,Yes,No
709,Kigali City,Gasabo,Peri urban,26.06709402,185577.9844,Male,11,"Yes,and residing in the household",Yes and resident in household,No,Primary 3,Primary 4,Public,Mediocre teaching,,Both parents,,,,Yes,Yes,Yes,No
710,Kigali City,Gasabo,Peri urban,26.06709402,185577.9844,Female,10,"Yes,and residing in the household",Yes and resident in household,No,Primary 3,Primary 4,Public,Mediocre teaching,,Both parents,,,,Yes,Yes,Yes,No
715,Kigali City,Gasabo,Peri urban,26.06709402,281006.625,Male,18,No,Yes and resident in household,No,Not in class,Not in class,,,,,,,Cost,No,,Yes,Yes
716,Kigali City,Gasabo,Peri urban,26.06709402,281006.625,Male,9,No,Yes and resident in household,No,Not in class,Primary 1,Public,No problem,,Mother,,,,,,,No
